machine.authenticate_device (size=8.0): 0.019858344981912524
machine2.authenticate_device (size=8.0): 0.020329471008153632
handshake (size=8.0): 0.056641128001501784
send (size=8.0): 0.004672045004554093
send (size=8.0): 9.927898645401001e-05
machine.authenticate_device denial (size=8.0): 0.0003798500110860914
machine.authenticate_device denial (size=8.0): 0.01895895801135339
machine.authenticate_device denial (size=8.0): 0.0004036949831061065
machine.authenticate_device denial (size=8.0): 0.01940629299497232
machine.authenticate_device denial (size=8.0): 0.0003906319907400757
machine.authenticate_device denial (size=8.0): 0.019560340006137267
machine.authenticate_device denial (size=8.0): 0.0004862450005020946
machine.authenticate_device denial (size=8.0): 0.01988244501990266
machine.authenticate_device denial (size=8.0): 0.00039647400262765586
machine.authenticate_device denial (size=8.0): 0.019231460988521576
machine.authenticate_device denial (size=8.0): 0.00042217998998239636
machine.authenticate_device denial (size=8.0): 0.01921865899930708
machine.authenticate_device denial (size=8.0): 0.0003594149893615395
machine.authenticate_device denial (size=8.0): 0.021761499985586852
machine.authenticate_device denial (size=8.0): 0.0006026230112183839
machine.authenticate_device denial (size=8.0): 0.022588182997424155
machine.authenticate_device denial (size=8.0): 0.000431941996794194
machine.authenticate_device denial (size=8.0): 0.0197078539931681
machine.authenticate_device denial (size=8.0): 0.00040169499698095024
machine.authenticate_device denial (size=8.0): 0.018366636999417096
machine.authenticate_device denial (size=8.0): 0.0004915659956168383
machine.authenticate_device denial (size=8.0): 0.019120006007142365
machine.authenticate_device denial (size=8.0): 0.0005385770054999739
machine.authenticate_device denial (size=8.0): 0.020164383022347465
machine.authenticate_device denial (size=8.0): 0.0003751089971046895
machine.authenticate_device denial (size=8.0): 0.01899416500236839
machine.authenticate_device denial (size=8.0): 0.00038695099647156894
machine.authenticate_device denial (size=8.0): 0.018413117999443784
machine.authenticate_device denial (size=8.0): 0.00038158000097610056
machine.authenticate_device denial (size=8.0): 0.018743375985650346
machine.authenticate_device denial (size=8.0): 0.00044888598495163023
machine.authenticate_device denial (size=8.0): 0.01897632097825408
machine.authenticate_device denial (size=8.0): 0.0005011280009057373
machine.authenticate_device denial (size=8.0): 0.019147551007336006
machine.authenticate_device denial (size=8.0): 0.00040974700823426247
machine.authenticate_device denial (size=8.0): 0.02003270699060522
machine.authenticate_device denial (size=8.0): 0.00038356002187356353
machine.authenticate_device denial (size=8.0): 0.018385571980616078
machine.authenticate_device denial (size=8.0): 0.0003699969965964556
machine.authenticate_device denial (size=9.0): 0.019010563992196694
machine.authenticate_device denial (size=9.0): 0.0005853490147273988
machine.authenticate_device denial (size=9.0): 0.02033014499465935
machine.authenticate_device denial (size=9.0): 0.0004415159928612411
machine.authenticate_device denial (size=9.0): 0.019181460986146703
machine.authenticate_device denial (size=9.0): 0.0006184310186654329
machine.authenticate_device denial (size=9.0): 0.021524440991925076
machine.authenticate_device denial (size=9.0): 0.00037026399513706565
machine.authenticate_device denial (size=9.0): 0.01904769500833936
machine.authenticate_device denial (size=9.0): 0.00052640400826931
machine.authenticate_device denial (size=9.0): 0.020527263986878097
machine.authenticate_device denial (size=9.0): 0.0005001210083719343
machine.authenticate_device denial (size=9.0): 0.018868382001528516
machine.authenticate_device denial (size=9.0): 0.0004565519921015948
machine.authenticate_device denial (size=9.0): 0.01859311299631372
machine.authenticate_device denial (size=9.0): 0.0004079350037500262
machine.authenticate_device denial (size=9.0): 0.018740825005806983
machine.authenticate_device denial (size=9.0): 0.00040311599150300026
machine.authenticate_device denial (size=9.0): 0.01871029200265184
machine.authenticate_device denial (size=9.0): 0.0004726479819510132
machine.authenticate_device denial (size=9.0): 0.01994401402771473
machine.authenticate_device denial (size=9.0): 0.0005225950153544545
machine.authenticate_device denial (size=9.0): 0.019294961995910853
machine.authenticate_device denial (size=9.0): 0.00041105400305241346
machine.authenticate_device denial (size=9.0): 0.020009936997666955
machine.authenticate_device denial (size=9.0): 0.00037983202491886914
machine.authenticate_device denial (size=9.0): 0.018663005001144484
machine.authenticate_device denial (size=9.0): 0.0003836510004475713
machine.authenticate_device denial (size=9.0): 0.01913269399665296
machine.authenticate_device denial (size=9.0): 0.0005334629968274385
machine.authenticate_device denial (size=9.0): 0.018840548989828676
machine.authenticate_device denial (size=9.0): 0.00042232099804095924
machine.authenticate_device denial (size=9.0): 0.018984820984769613
machine.authenticate_device denial (size=9.0): 0.0005235939752310514
machine.authenticate_device denial (size=9.0): 0.02032971498556435
machine.authenticate_device denial (size=9.0): 0.00038270201184786856
machine.authenticate_device denial (size=9.0): 0.018234743998618796
machine.authenticate_device denial (size=9.0): 0.00046979900798760355
machine.authenticate_device denial (size=9.0): 0.01912227598950267
machine.authenticate_device denial (size=9.0): 0.0005458499945234507
machine.authenticate_device denial (size=9.0): 0.018332350999116898
machine.authenticate_device denial (size=9.0): 0.0003816919925156981
machine.authenticate_device denial (size=9.0): 0.018578027025796473
machine.authenticate_device denial (size=9.0): 0.0003804909938480705
machine.authenticate_device denial (size=9.0): 0.018410939985187724
machine.authenticate_device denial (size=9.0): 0.00037321398849599063
machine.authenticate_device denial (size=9.0): 0.01852916000643745
machine.authenticate_device denial (size=9.0): 0.0004595420032273978
machine.authenticate_device denial (size=9.0): 0.018565078993560746
machine.authenticate_device denial (size=9.0): 0.00056130500161089
machine.authenticate_device denial (size=9.0): 0.019988194020697847
machine.authenticate_device denial (size=9.0): 0.0003825420280918479
machine.authenticate_device denial (size=9.0): 0.019646422006189823
machine.authenticate_device denial (size=9.0): 0.00040666499990038574
machine.authenticate_device denial (size=9.0): 0.020848070998908952
machine.authenticate_device denial (size=9.0): 0.0004971009911969304
machine.authenticate_device denial (size=9.0): 0.023332306009251624
machine.authenticate_device denial (size=9.0): 0.00043969598482362926
machine.authenticate_device denial (size=9.0): 0.019574859994463623
machine.authenticate_device denial (size=9.0): 0.0003788020112551749
machine.authenticate_device denial (size=9.0): 0.025009812001371756
machine.authenticate_device denial (size=9.0): 0.000608303991612047
machine.authenticate_device denial (size=9.0): 0.0193017499987036
machine.authenticate_device denial (size=9.0): 0.0004353179829195142
machine.authenticate_device denial (size=9.0): 0.019259071006672457
machine.authenticate_device denial (size=9.0): 0.0004156529903411865
machine.authenticate_device denial (size=9.0): 0.01912772501236759
machine.authenticate_device denial (size=9.0): 0.00044665500172413886
machine.authenticate_device denial (size=9.0): 0.019062452018260956
machine.authenticate_device denial (size=9.0): 0.0004748170031234622
machine.authenticate_device denial (size=9.0): 0.019554973987396806
machine.authenticate_device denial (size=9.0): 0.00046528998063877225
machine.authenticate_device denial (size=9.0): 0.01990072100306861
machine.authenticate_device denial (size=9.0): 0.00040439600707031786
machine.authenticate_device denial (size=9.0): 0.019844065012875944
machine.authenticate_device denial (size=9.0): 0.0003773219941649586
machine.authenticate_device denial (size=9.0): 0.02004410797962919
machine.authenticate_device denial (size=9.0): 0.0004137030045967549
machine.authenticate_device denial (size=9.0): 0.019458669004961848
machine.authenticate_device denial (size=9.0): 0.0006336069782264531
machine.authenticate_device denial (size=9.0): 0.02190243999939412
machine.authenticate_device denial (size=9.0): 0.0005625649937428534
machine.authenticate_device denial (size=9.0): 0.020344921009382233
machine.authenticate_device denial (size=9.0): 0.0005194160039536655
machine.authenticate_device denial (size=9.0): 0.020611952990293503
machine.authenticate_device denial (size=9.0): 0.0005854889750480652
machine.authenticate_device denial (size=9.0): 0.019386837986530736
machine.authenticate_device denial (size=9.0): 0.00038814000436104834
machine.authenticate_device denial (size=9.0): 0.018416029022773728
machine.authenticate_device denial (size=9.0): 0.0005025810096412897
machine.authenticate_device denial (size=9.0): 0.019295741978567094
machine.authenticate_device denial (size=9.0): 0.0004089639987796545
machine.authenticate_device denial (size=9.0): 0.01918762899003923
machine.authenticate_device denial (size=9.0): 0.00041882199002429843
machine.authenticate_device denial (size=9.0): 0.01969098800327629
machine.authenticate_device denial (size=9.0): 0.0005544070154428482
machine.authenticate_device denial (size=9.0): 0.019505568023305386
machine.authenticate_device denial (size=9.0): 0.000391328998375684
machine.authenticate_device denial (size=9.0): 0.018977033003466204
machine.authenticate_device denial (size=9.0): 0.00042091001523658633
machine.authenticate_device denial (size=9.0): 0.018289764993824065
machine.authenticate_device denial (size=9.0): 0.0005403870018199086
machine.authenticate_device denial (size=9.0): 0.019485839002300054
machine.authenticate_device denial (size=9.0): 0.0006486219936050475
machine.authenticate_device denial (size=9.0): 0.022800078993896022
machine.authenticate_device denial (size=9.0): 0.00040499097667634487
machine.authenticate_device denial (size=9.0): 0.019353411014890298
machine.authenticate_device denial (size=9.0): 0.00037750002229586244
machine.authenticate_device denial (size=9.0): 0.022754540987079963
machine.authenticate_device denial (size=9.0): 0.000616942998021841
machine.authenticate_device denial (size=9.0): 0.019052788004046306
machine.authenticate_device denial (size=9.0): 0.0005843469989486039
machine.authenticate_device denial (size=9.0): 0.01877140300348401
machine.authenticate_device denial (size=9.0): 0.0004980859812349081
machine.authenticate_device denial (size=9.0): 0.0197606339934282
machine.authenticate_device denial (size=9.0): 0.0004221390117891133
machine.authenticate_device denial (size=9.0): 0.018185907014412805
machine.authenticate_device denial (size=9.0): 0.0004270450153853744
machine.authenticate_device denial (size=9.0): 0.01807406501029618
machine.authenticate_device denial (size=9.0): 0.00036883499706164
machine.authenticate_device denial (size=9.0): 0.02007340799900703
machine.authenticate_device denial (size=9.0): 0.0005317520117387176
machine.authenticate_device denial (size=9.0): 0.019939235993660986
machine.authenticate_device denial (size=9.0): 0.0004002329951617867
machine.authenticate_device denial (size=9.0): 0.020447164977667853
machine.authenticate_device denial (size=9.0): 0.0004447729734238237
machine.authenticate_device denial (size=9.0): 0.02032201099791564
machine.authenticate_device denial (size=9.0): 0.0008469250169582665
machine.authenticate_device denial (size=9.0): 0.021744978992501274
machine.authenticate_device denial (size=9.0): 0.0004426540108397603
machine.authenticate_device denial (size=9.0): 0.020450993004487827
machine.authenticate_device denial (size=9.0): 0.0004880129999946803
machine.authenticate_device denial (size=9.0): 0.018327670026337728
machine.authenticate_device denial (size=9.0): 0.0003646190161816776
machine.authenticate_device denial (size=9.0): 0.01948029300547205
machine.authenticate_device denial (size=9.0): 0.0004419150063768029
machine.authenticate_device denial (size=9.0): 0.020309075014665723
machine.authenticate_device denial (size=9.0): 0.000413893983932212
machine.authenticate_device denial (size=9.0): 0.01875475500128232
machine.authenticate_device denial (size=9.0): 0.0005001040117349476
machine.authenticate_device denial (size=9.0): 0.01823168498231098
machine.authenticate_device denial (size=9.0): 0.0003989140095654875
machine.authenticate_device denial (size=9.0): 0.019659204001072794
machine.authenticate_device denial (size=9.0): 0.0003963859926443547
machine.authenticate_device denial (size=9.0): 0.019651673996122554
machine.authenticate_device denial (size=9.0): 0.0006649810238741338
machine.authenticate_device denial (size=9.0): 0.019724524026969448
machine.authenticate_device denial (size=9.0): 0.00037790898932144046
machine.authenticate_device denial (size=9.0): 0.018582602991955355
machine.authenticate_device denial (size=9.0): 0.00048003799747675657
